GAS	EM_UNIT	CONC_UNIT	BETA	ALPHA	TAU1	TAU2	TAU3	NAT_EM	SARF_TO_ERF
CO2	Pg_C	ppm	2.123	0.0	150.0	0	0	0.0	1.05
CH4	Tg	ppb	2.78	0.0	9.6	120	160	275.0	0.8771929824561404
N2O	Tg_N	ppb	4.81	0.0	109.0	0	0	9.5	1.07
SO2	Tg_S	-	11.0	0.0	0.0	0	0	0.0	1.0
CFC-11	Gg	ppt	24.394804137931036	0.000259	52.0	0	0	0.0	1.13
CFC-12	Gg	ppt	21.472658620689657	0.00032	102.0	0	0	0.0	1.12
CFC-113	Gg	ppt	33.27546413793104	0.000302	93.0	0	0	0.0	1.0
CFC-114	Gg	ppt	30.35303448275862	0.000315	189.0	0	0	0.0	1.0
CFC-115	Gg	ppt	27.431031034482764	0.000247	540.0	0	0	0.0	1.0
CH3Br	Gg	ppt	16.4	4e-06	0.8	0	0	0.0	1.0
CCl4	Gg	ppt	27.316949655172415	0.00017199999999999998	30.0	0	0	0.0	1.0
CH3CCl3	Gg	ppt	23.690887931034485	6.55e-05	5.0	0	0	0.0	1.0
HCFC-22	Gg	ppt	15.355648448275863	0.000214	11.6	0	0	0.0	1.0
HCFC-141b	Gg	ppt	20.768742413793102	0.000161	8.81	0	0	0.0	1.0
HCFC-123	Gg	ppt	27.158258620689658	0.00016	1.31	0	0	0.0	1.0
HCFC-142b	Gg	ppt	17.846596896551723	0.000194	17.1	0	0	0.0	1.0
H-1211	Gg	ppt	29.365655172413796	0.00031	16.0	0	0	0.0	1.0
H-1301	Gg	ppt	26.44436206896552	0.00030900000000000003	72.0	0	0	0.0	1.0
H-2402	Gg	ppt	46.13689655172415	0.00032500000000000004	28.0	0	0	0.0	1.0
HFC125	Gg	ppt	21.314162931034485	0.00023400000000000002	30.7	0	0	0.0	1.0
HFC134a	Gg	ppt	18.119316034482758	0.00016700000000000002	13.5	0	0	0.0	1.0
HFC143a	Gg	ppt	14.924451379310346	0.00016900000000000002	51.8	0	0	0.0	1.0
HFC227ea	Gg	ppt	30.194822931034487	0.000273	35.8	0	0	0.0	1.0
HFC23	Gg	ppt	12.433502931034486	0.000192	228.0	0	0	0.0	1.0
HFC245fa	Gg	ppt	23.76	0.00024	7.7	0	0	0.0	1.0
HFC32	Gg	ppt	9.23865603448276	0.000111	5.27	0	0	0.0	1.0
HFC4310mee	Gg	ppt	44.760603448275866	0.000359	17.0	0	0	0.0	1.0
C2F6	Gg	ppt	24.509027586206898	0.000264	10000.0	0	0	0.0	1.0
C6F14	Gg	ppt	60.03124137931035	0.00045900000000000004	3100.0	0	0	0.0	1.0
CF4	Gg	ppt	15.628367586206899	0.0001	50000.0	0	0	0.0	1.0
SF6	Gg	ppt	25.937513275862074	0.000574	1065.0	0	0	0.0	1.0
NOx	Mt_N	-	0.0	0.0	0.0	0	0	0.0	1.0
CO	Mt	-	0.0	0.0	0.0	0	0	0.0	1.0
NMVOC	Mt	-	0.0	0.0	0.0	0	0	0.0	1.0
NH3	Mt	-	0.0	0.0	0.0	0	0	0.0	1.0
SO4_IND	X	-	0.0	0.0	0.0	0	0	0.0	1.0
TROP_O3	X	-	0.0	0.0	0.0	0	0	0.0	1.0
STRAT_O3	X	-	0.0	0.0	0.0	0	0	0.0	1.0
STRAT_H2O	X	-	0.0	0.0	0.0	0	0	0.0	1.0
BMB_AEROS_BC	Tg	-	0.0	0.0	0.0	0	0	0.0	1.0
BMB_AEROS_OC	Tg	-	0.0	0.0	0.0	0	0	0.0	1.0
BMB_AEROS	X	-	0.0	0.0	0.0	0	0	0.0	1.0
LANDUSE	X	-	0.0	0.0	0.0	0	0	0.0	1.0
BC	Tg	-	0.0	0.0	0.0	0	0	0.0	1.0
OC	Tg	-	0.0	0.0	0.0	0	0	0.0	1.0
OTHER	X	-	0.0	0.0	0.0	0	0	0.0	1.0
CFC-13	Gg	ppt	18.550655	0.000279	640.00	0	0	0.0	1.0
HCFC-124	Gg	ppt	24.236247	0.000207	5.90	0	0	0.0	1.0
HCFC-133a	Gg	ppt	21.042190	0.000150	4.48	0	0	0.0	1.0
HFC152a	Gg	ppt	11.729604	0.000101	1.50	0	0	0.0	1.0
HFC365mfc	Gg	ppt	26.296060	0.000243	8.86	0	0	0.0	1.0
HFC236fa	Gg	ppt	26.999976	0.000263	213.00	0	0	0.0	1.0
C3F8	Gg	ppt	33.389688	0.000276	2600.00	0	0	0.0	1.0
C4F8	Gg	ppt	35.522569	0.000328	3200.00	0	0	0.0	1.0
C4F10	Gg	ppt	42.270312	0.000375	2600.00	0	0	0.0	1.0
NF3	Gg	ppt	12.608621	0.000208	569.00	0	0	0.0	1.0
SO2F2	Gg	ppt	18.124661	0.000200	36.00	0	0	0.0	1.0
